time	V(out)	V(rst)	V(vin)
1.461529314820559e-005	8.742056e-003	3.260885e-001	-2.000000e+000
1.461579314430614e-005	8.763748e-003	3.260219e-001	-2.000000e+000
1.461669257134145e-005	8.802745e-003	3.259292e-001	-2.000000e+000
1.461788923118145e-005	8.854579e-003	3.259034e-001	-2.000000e+000
1.461961725373767e-005	8.929326e-003	3.260226e-001	-2.000000e+000
1.462086952478142e-005	8.983417e-003	3.261544e-001	-2.000000e+000
1.462316998222098e-005	9.082613e-003	3.263531e-001	-2.000000e+000
1.462577230758998e-005	9.194552e-003	3.264810e-001	-2.000000e+000
1.463144055247735e-005	9.437334e-003	3.267872e-001	-2.000000e+000
1.463710879736472e-005	9.678748e-003	3.270888e-001	-2.000000e+000
1.464277704225209e-005	9.918793e-003	3.273857e-001	-2.000000e+000
1.464844528713946e-005	1.015747e-002	3.276780e-001	-2.000000e+000
1.465411353202683e-005	1.039478e-002	3.279657e-001	-2.000000e+000
1.465978177691420e-005	1.063072e-002	3.282487e-001	-2.000000e+000
1.466545002180157e-005	1.086529e-002	3.285270e-001	-2.000000e+000
1.467896270156712e-005	1.141923e-002	3.291549e-001	-2.000000e+000
1.470015023422926e-005	1.227272e-002	3.301013e-001	-2.000000e+000
1.470416648556097e-005	1.243240e-002	3.302710e-001	-2.000000e+000
1.470665781825146e-005	1.253114e-002	3.303748e-001	-2.000000e+000
1.470914915094194e-005	1.262964e-002	3.304776e-001	-2.000000e+000
1.471164048363243e-005	1.272787e-002	3.305793e-001	-2.000000e+000
1.471413181632291e-005	1.282586e-002	3.306800e-001	-2.000000e+000
1.471662314901339e-005	1.292359e-002	3.307796e-001	-2.000000e+000
1.471911448170388e-005	1.302108e-002	3.308780e-001	-2.000000e+000
1.472160581439436e-005	1.311830e-002	3.309755e-001	-2.000000e+000
1.472288229733049e-005	1.316802e-002	3.310079e-001	-2.000000e+000
1.472415878026663e-005	1.321768e-002	3.310419e-001	-2.000000e+000
1.472543526320276e-005	1.326726e-002	3.310774e-001	-2.000000e+000
1.472671174613890e-005	1.331678e-002	3.311146e-001	-2.000000e+000
1.472798822907503e-005	1.336624e-002	3.311534e-001	-2.000000e+000
1.472926471201117e-005	1.341562e-002	3.311938e-001	-2.000000e+000
1.473054119494730e-005	1.346495e-002	3.312358e-001	-2.000000e+000
1.474642844719167e-005	1.407328e-002	3.318331e-001	-2.000000e+000
1.476231569943604e-005	1.467138e-002	3.323966e-001	-2.000000e+000
1.477820295168041e-005	1.525924e-002	3.329264e-001	-2.000000e+000
1.479409020392479e-005	1.583685e-002	3.334225e-001	-2.000000e+000
1.480997745616916e-005	1.640422e-002	3.338849e-001	-2.000000e+000
1.482586470841353e-005	1.696135e-002	3.343136e-001	-2.000000e+000
1.484175196065790e-005	1.750824e-002	3.347085e-001	-2.000000e+000
1.489738500823321e-005	1.934341e-002	3.359703e-001	-2.000000e+000
1.496135235662450e-005	2.130092e-002	3.371405e-001	-2.000000e+000
1.503354720706624e-005	2.331721e-002	3.381782e-001	-2.000000e+000
1.510343538970162e-005	2.507794e-002	3.389482e-001	-2.000000e+000
1.519105504805827e-005	2.702703e-002	3.396696e-001	-2.000000e+000
1.528168608700048e-005	2.874999e-002	3.402099e-001	-2.000000e+000
1.539742822620275e-005	3.053536e-002	3.406858e-001	-2.000000e+000
1.551549779889164e-005	3.189943e-002	3.410045e-001	-2.000000e+000
1.567022677039365e-005	3.303219e-002	3.412598e-001	-2.000000e+000
